corpus_unit_id,passage_text,plant_name,chemical_name,text,label
126,"The essential oils isolated from rosemary and oregano were characterized by their greater content of 1,8-cineole (49.99%) and carvacrol (69.55%), respectively.",oregano,"1,8-cineole","Relation of oregano and 1,8-cineole on The essential oils isolated from rosemary and oregano were characterized by their greater content of 1,8-cineole (49.99%) and carvacrol (69.55%), respectively.",Positive
127,"The essential oils isolated from rosemary and oregano were characterized by their greater content of 1,8-cineole (49.99%) and carvacrol (69.55%), respectively.",oregano,carvacrol,"Relation of oregano and carvacrol on The essential oils isolated from rosemary and oregano were characterized by their greater content of 1,8-cineole (49.99%) and carvacrol (69.55%), respectively.",Positive
128,"We have studied the effect of a-mangostin, a xanthone derivative isolated from pericarp of mangosteen (Garcinia mangostana Linn.) in canine osteosarcoma, D-17 cells.",mangosteen,xanthone,"Relation of mangosteen and xanthone on We have studied the effect of a-mangostin, a xanthone derivative isolated from pericarp of mangosteen (Garcinia mangostana Linn.) in canine osteosarcoma, D-17 cells.",Positive
129,"We have studied the effect of a-mangostin, a xanthone derivative isolated from pericarp of mangosteen (Garcinia mangostana Linn.) in canine osteosarcoma, D-17 cells.",Garcinia mangostana Linn,xanthone,"Relation of Garcinia mangostana Linn and xanthone on We have studied the effect of a-mangostin, a xanthone derivative isolated from pericarp of mangosteen (Garcinia mangostana Linn.) in canine osteosarcoma, D-17 cells.",Positive
130,"Recent reviews showed that Ginkgo biloba extract EGb 761(1) is effective to enhance performance in patients with cognitive impairment (e.g., dementia).",Ginkgo biloba,EGb 761,"Relation of Ginkgo biloba and EGb 761 on Recent reviews showed that Ginkgo biloba extract EGb 761(1) is effective to enhance performance in patients with cognitive impairment (e.g., dementia).",Positive
131,"Benzyladenine (BA) and short day (SD) induction promote and gibberellic acid (GA) inhibits flowering in Bougainvillea ""San Diego Red."" GA is an overriding vegetative signal maintaining plants in a vegetative state even when BA is applied in SD conditions.",Bougainvillea,Benzyladenine,"Relation of Bougainvillea and Benzyladenine on Benzyladenine (BA) and short day (SD) induction promote and gibberellic acid (GA) inhibits flowering in Bougainvillea ""San Diego Red."" GA is an overriding vegetative signal maintaining plants in a vegetative state even when BA is applied in SD conditions.",Negative
132,"Benzyladenine (BA) and short day (SD) induction promote and gibberellic acid (GA) inhibits flowering in Bougainvillea ""San Diego Red."" GA is an overriding vegetative signal maintaining plants in a vegetative state even when BA is applied in SD conditions.",Bougainvillea,gibberellic acid,"Relation of Bougainvillea and gibberellic acid on Benzyladenine (BA) and short day (SD) induction promote and gibberellic acid (GA) inhibits flowering in Bougainvillea ""San Diego Red."" GA is an overriding vegetative signal maintaining plants in a vegetative state even when BA is applied in SD conditions.",Negative
133,"Siberian ginseng extract produced a protective effect during experimental steroid-induced osteoporosis, which was comparable with the influence of ipriflavone.",Siberian ginseng,ipriflavone,"Relation of Siberian ginseng and ipriflavone on Siberian ginseng extract produced a protective effect during experimental steroid-induced osteoporosis, which was comparable with the influence of ipriflavone.",Negative
134,"Ginger rhizomes successive extracts (petroleum ether, chloroform and ethanol) were examined against liver fibrosis induced by carbon tetrachloride in rats.",Ginger,carbon tetrachloride,"Relation of Ginger and carbon tetrachloride on Ginger rhizomes successive extracts (petroleum ether, chloroform and ethanol) were examined against liver fibrosis induced by carbon tetrachloride in rats.",Negative
135,"Dietary cyanogen exposure was estimated from urinary levels of linamarin, the cyanogenic glycoside in cassava, and urinary thiocyanate, the main cyanide metabolite.",cassava,linamarin,"Relation of cassava and linamarin on Dietary cyanogen exposure was estimated from urinary levels of linamarin, the cyanogenic glycoside in cassava, and urinary thiocyanate, the main cyanide metabolite.",Negative
136,"Dietary cyanogen exposure was estimated from urinary levels of linamarin, the cyanogenic glycoside in cassava, and urinary thiocyanate, the main cyanide metabolite.",cassava,cyanogenic glycoside,"Relation of cassava and cyanogenic glycoside on Dietary cyanogen exposure was estimated from urinary levels of linamarin, the cyanogenic glycoside in cassava, and urinary thiocyanate, the main cyanide metabolite.",Positive
137,"Dietary cyanogen exposure was estimated from urinary levels of linamarin, the cyanogenic glycoside in cassava, and urinary thiocyanate, the main cyanide metabolite.",cassava,thiocyanate,"Relation of cassava and thiocyanate on Dietary cyanogen exposure was estimated from urinary levels of linamarin, the cyanogenic glycoside in cassava, and urinary thiocyanate, the main cyanide metabolite.",Negative
138,"Dietary cyanogen exposure was estimated from urinary levels of linamarin, the cyanogenic glycoside in cassava, and urinary thiocyanate, the main cyanide metabolite.",cassava,cyanide,"Relation of cassava and cyanide on Dietary cyanogen exposure was estimated from urinary levels of linamarin, the cyanogenic glycoside in cassava, and urinary thiocyanate, the main cyanide metabolite.",Negative
139,Further research will be required to determine if less abundant xanthones present in the mangosteen may modulate the PK parameters of a-mangostin.,mangosteen,xanthones,Relation of mangosteen and xanthones on Further research will be required to determine if less abundant xanthones present in the mangosteen may modulate the PK parameters of a-mangostin.,Negative
140,Further research will be required to determine if less abundant xanthones present in the mangosteen may modulate the PK parameters of a-mangostin.,mangosteen,a-mangostin,Relation of mangosteen and a-mangostin on Further research will be required to determine if less abundant xanthones present in the mangosteen may modulate the PK parameters of a-mangostin.,Negative
141,"Arylpropanoids, although being common compounds produced by Piperaceae species, were not found in these oils.",Piperaceae,Arylpropanoids,"Relation of Piperaceae and Arylpropanoids on Arylpropanoids, although being common compounds produced by Piperaceae species, were not found in these oils.",Positive
142,"Therefore, we used beta-glucuronidase reporter fusions and quantitative reverse-transcriptase PCR to analyze tissue-specific expression of ARGAH1 and ARGAH2 during Arabidopsis development, and in response to the availability of nutrients and exposure to methyl jasmonate (MeJA).",Arabidopsis,methyl jasmonate,"Relation of Arabidopsis and methyl jasmonate on Therefore, we used beta-glucuronidase reporter fusions and quantitative reverse-transcriptase PCR to analyze tissue-specific expression of ARGAH1 and ARGAH2 during Arabidopsis development, and in response to the availability of nutrients and exposure to methyl jasmonate (MeJA).",Negative
143,"Therefore, we used beta-glucuronidase reporter fusions and quantitative reverse-transcriptase PCR to analyze tissue-specific expression of ARGAH1 and ARGAH2 during Arabidopsis development, and in response to the availability of nutrients and exposure to methyl jasmonate (MeJA).",Arabidopsis,MeJA,"Relation of Arabidopsis and MeJA on Therefore, we used beta-glucuronidase reporter fusions and quantitative reverse-transcriptase PCR to analyze tissue-specific expression of ARGAH1 and ARGAH2 during Arabidopsis development, and in response to the availability of nutrients and exposure to methyl jasmonate (MeJA).",Negative
144,The effect of betacyanin pigments from Amaranthus tricolor and Amaranthus cruentus on chromatic and physicochemical properties of three wheat flours was studied.,Amaranthus tricolor,betacyanin,Relation of Amaranthus tricolor and betacyanin on The effect of betacyanin pigments from Amaranthus tricolor and Amaranthus cruentus on chromatic and physicochemical properties of three wheat flours was studied.,Positive
145,The effect of betacyanin pigments from Amaranthus tricolor and Amaranthus cruentus on chromatic and physicochemical properties of three wheat flours was studied.,Amaranthus cruentus,betacyanin,Relation of Amaranthus cruentus and betacyanin on The effect of betacyanin pigments from Amaranthus tricolor and Amaranthus cruentus on chromatic and physicochemical properties of three wheat flours was studied.,Positive
146,Two new 4'-substituted flavones isolated from the fruit peels of Citrus limon (L.) Burm.f.,Citrus limon (L.) Burm.f,4'-substituted flavones,Relation of Citrus limon (L.) Burm.f and 4'-substituted flavones on Two new 4'-substituted flavones isolated from the fruit peels of Citrus limon (L.) Burm.f.,Positive
147,Our case involves an athlete who ingested a metabolic stimulant containing ma huang (ephedrine) and suffered from syncope and atypical chest pains during a bout of rigorous exercise and dehydration to lose weight for competition.,ma huang,ephedrine,Relation of ma huang and ephedrine on Our case involves an athlete who ingested a metabolic stimulant containing ma huang (ephedrine) and suffered from syncope and atypical chest pains during a bout of rigorous exercise and dehydration to lose weight for competition.,Positive
148,"Biodiesel has been produced by transesterification of canola oil with methanol in the presence of highly Br  nsted acidic ionic liquids based on 1-benzyl-1H-benzimidazole, and the effect of reaction temperature, type and amount of catalyst, molar ratio and reaction time investigated.",canola,methanol,"Relation of canola and methanol on Biodiesel has been produced by transesterification of canola oil with methanol in the presence of highly Br  nsted acidic ionic liquids based on 1-benzyl-1H-benzimidazole, and the effect of reaction temperature, type and amount of catalyst, molar ratio and reaction time investigated.",Negative
149,"Biodiesel has been produced by transesterification of canola oil with methanol in the presence of highly Br  nsted acidic ionic liquids based on 1-benzyl-1H-benzimidazole, and the effect of reaction temperature, type and amount of catalyst, molar ratio and reaction time investigated.",canola,1-benzyl-1H-benzimidazole,"Relation of canola and 1-benzyl-1H-benzimidazole on Biodiesel has been produced by transesterification of canola oil with methanol in the presence of highly Br  nsted acidic ionic liquids based on 1-benzyl-1H-benzimidazole, and the effect of reaction temperature, type and amount of catalyst, molar ratio and reaction time investigated.",Negative
150,"In order to study the direct effects of sterculi acid triglyceride on smooth muscle proliferation, sterculic acid triglyceride in Sterculia foetida seed oil extract was added to tissue culture media in concentrations of 2 x 10(-6) to 2 x 10(-3)mg/ml and tested on primary as well as subcultures of rabbit aorta smooth muscle cells.",Sterculia foetida,sterculi acid triglyceride,"Relation of Sterculia foetida and sterculi acid triglyceride on In order to study the direct effects of sterculi acid triglyceride on smooth muscle proliferation, sterculic acid triglyceride in Sterculia foetida seed oil extract was added to tissue culture media in concentrations of 2 x 10(-6) to 2 x 10(-3)mg/ml and tested on primary as well as subcultures of rabbit aorta smooth muscle cells.",Positive
151,"A new pregnane glycoside, named (20R)-O-(3)-b-D-glucopyranosyl-(1 > 2)-a-L-arabinopyranosyl-pregn-5-en-3b,20-diol (1), and seven known compounds, brusatol (2), bruceine B (3), bruceine D (4), yadanziolide A (5), bruceine E (6), yadanzioside G (7), and yadanzioside B (8), were isolated from the cultivated dry seeds of Brucea javanica.",Brucea javanica,pregnane glycoside,"Relation of Brucea javanica and pregnane glycoside on A new pregnane glycoside, named (20R)-O-(3)-b-D-glucopyranosyl-(1 > 2)-a-L-arabinopyranosyl-pregn-5-en-3b,20-diol (1), and seven known compounds, brusatol (2), bruceine B (3), bruceine D (4), yadanziolide A (5), bruceine E (6), yadanzioside G (7), and yadanzioside B (8), were isolated from the cultivated dry seeds of Brucea javanica.",Positive
152,"A new pregnane glycoside, named (20R)-O-(3)-b-D-glucopyranosyl-(1 > 2)-a-L-arabinopyranosyl-pregn-5-en-3b,20-diol (1), and seven known compounds, brusatol (2), bruceine B (3), bruceine D (4), yadanziolide A (5), bruceine E (6), yadanzioside G (7), and yadanzioside B (8), were isolated from the cultivated dry seeds of Brucea javanica.",Brucea javanica,"(20R)-O-(3)-b-D-glucopyranosyl-(1 > 2)-a-L-arabinopyranosyl-pregn-5-en-3b,20-diol","Relation of Brucea javanica and (20R)-O-(3)-b-D-glucopyranosyl-(1 > 2)-a-L-arabinopyranosyl-pregn-5-en-3b,20-diol on A new pregnane glycoside, named (20R)-O-(3)-b-D-glucopyranosyl-(1 > 2)-a-L-arabinopyranosyl-pregn-5-en-3b,20-diol (1), and seven known compounds, brusatol (2), bruceine B (3), bruceine D (4), yadanziolide A (5), bruceine E (6), yadanzioside G (7), and yadanzioside B (8), were isolated from the cultivated dry seeds of Brucea javanica.",Positive
153,"A new pregnane glycoside, named (20R)-O-(3)-b-D-glucopyranosyl-(1 > 2)-a-L-arabinopyranosyl-pregn-5-en-3b,20-diol (1), and seven known compounds, brusatol (2), bruceine B (3), bruceine D (4), yadanziolide A (5), bruceine E (6), yadanzioside G (7), and yadanzioside B (8), were isolated from the cultivated dry seeds of Brucea javanica.",Brucea javanica,brusatol,"Relation of Brucea javanica and brusatol on A new pregnane glycoside, named (20R)-O-(3)-b-D-glucopyranosyl-(1 > 2)-a-L-arabinopyranosyl-pregn-5-en-3b,20-diol (1), and seven known compounds, brusatol (2), bruceine B (3), bruceine D (4), yadanziolide A (5), bruceine E (6), yadanzioside G (7), and yadanzioside B (8), were isolated from the cultivated dry seeds of Brucea javanica.",Positive
154,"A new pregnane glycoside, named (20R)-O-(3)-b-D-glucopyranosyl-(1 > 2)-a-L-arabinopyranosyl-pregn-5-en-3b,20-diol (1), and seven known compounds, brusatol (2), bruceine B (3), bruceine D (4), yadanziolide A (5), bruceine E (6), yadanzioside G (7), and yadanzioside B (8), were isolated from the cultivated dry seeds of Brucea javanica.",Brucea javanica,bruceine B,"Relation of Brucea javanica and bruceine B on A new pregnane glycoside, named (20R)-O-(3)-b-D-glucopyranosyl-(1 > 2)-a-L-arabinopyranosyl-pregn-5-en-3b,20-diol (1), and seven known compounds, brusatol (2), bruceine B (3), bruceine D (4), yadanziolide A (5), bruceine E (6), yadanzioside G (7), and yadanzioside B (8), were isolated from the cultivated dry seeds of Brucea javanica.",Positive
155,"A new pregnane glycoside, named (20R)-O-(3)-b-D-glucopyranosyl-(1 > 2)-a-L-arabinopyranosyl-pregn-5-en-3b,20-diol (1), and seven known compounds, brusatol (2), bruceine B (3), bruceine D (4), yadanziolide A (5), bruceine E (6), yadanzioside G (7), and yadanzioside B (8), were isolated from the cultivated dry seeds of Brucea javanica.",Brucea javanica,bruceine D,"Relation of Brucea javanica and bruceine D on A new pregnane glycoside, named (20R)-O-(3)-b-D-glucopyranosyl-(1 > 2)-a-L-arabinopyranosyl-pregn-5-en-3b,20-diol (1), and seven known compounds, brusatol (2), bruceine B (3), bruceine D (4), yadanziolide A (5), bruceine E (6), yadanzioside G (7), and yadanzioside B (8), were isolated from the cultivated dry seeds of Brucea javanica.",Positive
156,"A new pregnane glycoside, named (20R)-O-(3)-b-D-glucopyranosyl-(1 > 2)-a-L-arabinopyranosyl-pregn-5-en-3b,20-diol (1), and seven known compounds, brusatol (2), bruceine B (3), bruceine D (4), yadanziolide A (5), bruceine E (6), yadanzioside G (7), and yadanzioside B (8), were isolated from the cultivated dry seeds of Brucea javanica.",Brucea javanica,yadanziolide A,"Relation of Brucea javanica and yadanziolide A on A new pregnane glycoside, named (20R)-O-(3)-b-D-glucopyranosyl-(1 > 2)-a-L-arabinopyranosyl-pregn-5-en-3b,20-diol (1), and seven known compounds, brusatol (2), bruceine B (3), bruceine D (4), yadanziolide A (5), bruceine E (6), yadanzioside G (7), and yadanzioside B (8), were isolated from the cultivated dry seeds of Brucea javanica.",Positive
157,"A new pregnane glycoside, named (20R)-O-(3)-b-D-glucopyranosyl-(1 > 2)-a-L-arabinopyranosyl-pregn-5-en-3b,20-diol (1), and seven known compounds, brusatol (2), bruceine B (3), bruceine D (4), yadanziolide A (5), bruceine E (6), yadanzioside G (7), and yadanzioside B (8), were isolated from the cultivated dry seeds of Brucea javanica.",Brucea javanica,bruceine E,"Relation of Brucea javanica and bruceine E on A new pregnane glycoside, named (20R)-O-(3)-b-D-glucopyranosyl-(1 > 2)-a-L-arabinopyranosyl-pregn-5-en-3b,20-diol (1), and seven known compounds, brusatol (2), bruceine B (3), bruceine D (4), yadanziolide A (5), bruceine E (6), yadanzioside G (7), and yadanzioside B (8), were isolated from the cultivated dry seeds of Brucea javanica.",Positive
158,"A new pregnane glycoside, named (20R)-O-(3)-b-D-glucopyranosyl-(1 > 2)-a-L-arabinopyranosyl-pregn-5-en-3b,20-diol (1), and seven known compounds, brusatol (2), bruceine B (3), bruceine D (4), yadanziolide A (5), bruceine E (6), yadanzioside G (7), and yadanzioside B (8), were isolated from the cultivated dry seeds of Brucea javanica.",Brucea javanica,yadanzioside G,"Relation of Brucea javanica and yadanzioside G on A new pregnane glycoside, named (20R)-O-(3)-b-D-glucopyranosyl-(1 > 2)-a-L-arabinopyranosyl-pregn-5-en-3b,20-diol (1), and seven known compounds, brusatol (2), bruceine B (3), bruceine D (4), yadanziolide A (5), bruceine E (6), yadanzioside G (7), and yadanzioside B (8), were isolated from the cultivated dry seeds of Brucea javanica.",Positive
159,"A new pregnane glycoside, named (20R)-O-(3)-b-D-glucopyranosyl-(1 > 2)-a-L-arabinopyranosyl-pregn-5-en-3b,20-diol (1), and seven known compounds, brusatol (2), bruceine B (3), bruceine D (4), yadanziolide A (5), bruceine E (6), yadanzioside G (7), and yadanzioside B (8), were isolated from the cultivated dry seeds of Brucea javanica.",Brucea javanica,yadanzioside B,"Relation of Brucea javanica and yadanzioside B on A new pregnane glycoside, named (20R)-O-(3)-b-D-glucopyranosyl-(1 > 2)-a-L-arabinopyranosyl-pregn-5-en-3b,20-diol (1), and seven known compounds, brusatol (2), bruceine B (3), bruceine D (4), yadanziolide A (5), bruceine E (6), yadanzioside G (7), and yadanzioside B (8), were isolated from the cultivated dry seeds of Brucea javanica.",Positive
160,"The effects of the anti-depressants fluoxetine, venlafaxine, escitalopram, tianeptine, and extract of Hypericum perforatum (St. John's wort) (HPE) were examined.",Hypericum perforatum,fluoxetine,"Relation of Hypericum perforatum and fluoxetine on The effects of the anti-depressants fluoxetine, venlafaxine, escitalopram, tianeptine, and extract of Hypericum perforatum (St. John's wort) (HPE) were examined.",Negative
161,"The effects of the anti-depressants fluoxetine, venlafaxine, escitalopram, tianeptine, and extract of Hypericum perforatum (St. John's wort) (HPE) were examined.",Hypericum perforatum,venlafaxine,"Relation of Hypericum perforatum and venlafaxine on The effects of the anti-depressants fluoxetine, venlafaxine, escitalopram, tianeptine, and extract of Hypericum perforatum (St. John's wort) (HPE) were examined.",Negative
162,"The effects of the anti-depressants fluoxetine, venlafaxine, escitalopram, tianeptine, and extract of Hypericum perforatum (St. John's wort) (HPE) were examined.",Hypericum perforatum,escitalopram,"Relation of Hypericum perforatum and escitalopram on The effects of the anti-depressants fluoxetine, venlafaxine, escitalopram, tianeptine, and extract of Hypericum perforatum (St. John's wort) (HPE) were examined.",Negative
163,"The effects of the anti-depressants fluoxetine, venlafaxine, escitalopram, tianeptine, and extract of Hypericum perforatum (St. John's wort) (HPE) were examined.",Hypericum perforatum,tianeptine,"Relation of Hypericum perforatum and tianeptine on The effects of the anti-depressants fluoxetine, venlafaxine, escitalopram, tianeptine, and extract of Hypericum perforatum (St. John's wort) (HPE) were examined.",Negative
164,"Using the agricultural pest Ipomoea purpurea, we measured correlations between traits involved in defense to glyphosate, the active ingredient in Roundup, a widely used herbicide.",Ipomoea purpurea,glyphosate,"Relation of Ipomoea purpurea and glyphosate on Using the agricultural pest Ipomoea purpurea, we measured correlations between traits involved in defense to glyphosate, the active ingredient in Roundup, a widely used herbicide.",Negative
165,A transcriptomic analysis utilizing Illumina next-generation sequencing enabled the identification of novel genes involved in the biosynthesis of terpenoids in Thapsia.,Thapsia,terpenoids,Relation of Thapsia and terpenoids on A transcriptomic analysis utilizing Illumina next-generation sequencing enabled the identification of novel genes involved in the biosynthesis of terpenoids in Thapsia.,Positive
166,A cell-free system from ARTEMISIA ANNUA L. shoot cultures and plants (shoots and roots) which is capable of incorporating (14)C-isopentenyl pyrophosphate ( (14)C-IPP) into artemisinin has been developed.,ARTEMISIA ANNUA L,(14)C-isopentenyl pyrophosphate,Relation of ARTEMISIA ANNUA L and (14)C-isopentenyl pyrophosphate on A cell-free system from ARTEMISIA ANNUA L. shoot cultures and plants (shoots and roots) which is capable of incorporating (14)C-isopentenyl pyrophosphate ( (14)C-IPP) into artemisinin has been developed.,Negative
167,A cell-free system from ARTEMISIA ANNUA L. shoot cultures and plants (shoots and roots) which is capable of incorporating (14)C-isopentenyl pyrophosphate ( (14)C-IPP) into artemisinin has been developed.,ARTEMISIA ANNUA L,(14)C-IPP,Relation of ARTEMISIA ANNUA L and (14)C-IPP on A cell-free system from ARTEMISIA ANNUA L. shoot cultures and plants (shoots and roots) which is capable of incorporating (14)C-isopentenyl pyrophosphate ( (14)C-IPP) into artemisinin has been developed.,Negative
168,A cell-free system from ARTEMISIA ANNUA L. shoot cultures and plants (shoots and roots) which is capable of incorporating (14)C-isopentenyl pyrophosphate ( (14)C-IPP) into artemisinin has been developed.,ARTEMISIA ANNUA L,artemisinin,Relation of ARTEMISIA ANNUA L and artemisinin on A cell-free system from ARTEMISIA ANNUA L. shoot cultures and plants (shoots and roots) which is capable of incorporating (14)C-isopentenyl pyrophosphate ( (14)C-IPP) into artemisinin has been developed.,Negative
169,"Collectively, the present results suggest that the ethanol extract of Caesalpinia pyramidalis produced dose-related antinociception in several models of pain through mechanisms that involved both glutamatergic system and/or the l-arginine-nitric oxide pathway, supporting the folkloric usage of the plant to treat various painful processes.",Caesalpinia pyramidalis,ethanol,"Relation of Caesalpinia pyramidalis and ethanol on Collectively, the present results suggest that the ethanol extract of Caesalpinia pyramidalis produced dose-related antinociception in several models of pain through mechanisms that involved both glutamatergic system and/or the l-arginine-nitric oxide pathway, supporting the folkloric usage of the plant to treat various painful processes.",Negative
170,The present study is aimed to systematically determine the cytotoxicity and possible cell death mechanism elicited by the chloroform extract of Physalis minima in human ovarian Caov-3 carcinoma.,Physalis minima,chloroform,Relation of Physalis minima and chloroform on The present study is aimed to systematically determine the cytotoxicity and possible cell death mechanism elicited by the chloroform extract of Physalis minima in human ovarian Caov-3 carcinoma.,Negative
171,The fenamiphos treatment outperformed all fosthiazate treatments in tobacco yield and root gall reduction.,tobacco,fenamiphos,Relation of tobacco and fenamiphos on The fenamiphos treatment outperformed all fosthiazate treatments in tobacco yield and root gall reduction.,Negative
172,The fenamiphos treatment outperformed all fosthiazate treatments in tobacco yield and root gall reduction.,tobacco,fosthiazate,Relation of tobacco and fosthiazate on The fenamiphos treatment outperformed all fosthiazate treatments in tobacco yield and root gall reduction.,Negative
173,"Six pregnane glycosides and three cardenolides were isolated as differentiation inducers using mouse myeloid leukemia (Ml) cells from Periplocae Radicis Cortex (bark of Periploca sepium BGE., Asclepiadaceae).",Periplocae Radicis Cortex,pregnane glycosides,"Relation of Periplocae Radicis Cortex and pregnane glycosides on Six pregnane glycosides and three cardenolides were isolated as differentiation inducers using mouse myeloid leukemia (Ml) cells from Periplocae Radicis Cortex (bark of Periploca sepium BGE., Asclepiadaceae).",Positive
174,"Six pregnane glycosides and three cardenolides were isolated as differentiation inducers using mouse myeloid leukemia (Ml) cells from Periplocae Radicis Cortex (bark of Periploca sepium BGE., Asclepiadaceae).",Periploca sepium BGE,pregnane glycosides,"Relation of Periploca sepium BGE and pregnane glycosides on Six pregnane glycosides and three cardenolides were isolated as differentiation inducers using mouse myeloid leukemia (Ml) cells from Periplocae Radicis Cortex (bark of Periploca sepium BGE., Asclepiadaceae).",Positive
175,"Six pregnane glycosides and three cardenolides were isolated as differentiation inducers using mouse myeloid leukemia (Ml) cells from Periplocae Radicis Cortex (bark of Periploca sepium BGE., Asclepiadaceae).",Asclepiadaceae,pregnane glycosides,"Relation of Asclepiadaceae and pregnane glycosides on Six pregnane glycosides and three cardenolides were isolated as differentiation inducers using mouse myeloid leukemia (Ml) cells from Periplocae Radicis Cortex (bark of Periploca sepium BGE., Asclepiadaceae).",Positive
176,"Six pregnane glycosides and three cardenolides were isolated as differentiation inducers using mouse myeloid leukemia (Ml) cells from Periplocae Radicis Cortex (bark of Periploca sepium BGE., Asclepiadaceae).",Periplocae Radicis Cortex,cardenolides,"Relation of Periplocae Radicis Cortex and cardenolides on Six pregnane glycosides and three cardenolides were isolated as differentiation inducers using mouse myeloid leukemia (Ml) cells from Periplocae Radicis Cortex (bark of Periploca sepium BGE., Asclepiadaceae).",Positive
177,"Six pregnane glycosides and three cardenolides were isolated as differentiation inducers using mouse myeloid leukemia (Ml) cells from Periplocae Radicis Cortex (bark of Periploca sepium BGE., Asclepiadaceae).",Periploca sepium BGE,cardenolides,"Relation of Periploca sepium BGE and cardenolides on Six pregnane glycosides and three cardenolides were isolated as differentiation inducers using mouse myeloid leukemia (Ml) cells from Periplocae Radicis Cortex (bark of Periploca sepium BGE., Asclepiadaceae).",Positive
178,"Six pregnane glycosides and three cardenolides were isolated as differentiation inducers using mouse myeloid leukemia (Ml) cells from Periplocae Radicis Cortex (bark of Periploca sepium BGE., Asclepiadaceae).",Asclepiadaceae,cardenolides,"Relation of Asclepiadaceae and cardenolides on Six pregnane glycosides and three cardenolides were isolated as differentiation inducers using mouse myeloid leukemia (Ml) cells from Periplocae Radicis Cortex (bark of Periploca sepium BGE., Asclepiadaceae).",Positive
179,Fifty ng of LTE4 was synthesized (after injection of zymosan) by the peritoneal cavity of mice maintained on olive oil as a dietary source of unsaturated fatty acids.,olive,unsaturated fatty acids,Relation of olive and unsaturated fatty acids on Fifty ng of LTE4 was synthesized (after injection of zymosan) by the peritoneal cavity of mice maintained on olive oil as a dietary source of unsaturated fatty acids.,Positive
180,"These results suggest that sweet potato extract could be protective against Ab-induced neurotoxicity, possibly due to the antioxidative capacity of its constituent, 2,4-di-tert-butylphenol.",sweet potato,"2,4-di-tert-butylphenol","Relation of sweet potato and 2,4-di-tert-butylphenol on These results suggest that sweet potato extract could be protective against Ab-induced neurotoxicity, possibly due to the antioxidative capacity of its constituent, 2,4-di-tert-butylphenol.",Positive
181,"In this study the first CE method for the determination of all major alkaloids ((-)-nuciferine, (-)-nornuciferine, (-)-caaverine, (-)-armepavine, (+)-norarmepavine, (+)-isoliensinine and (+)-pronuciferine) in Nelumbo nucifera leaves was developed.",Nelumbo nucifera,(-)-nuciferine,"Relation of Nelumbo nucifera and (-)-nuciferine on In this study the first CE method for the determination of all major alkaloids ((-)-nuciferine, (-)-nornuciferine, (-)-caaverine, (-)-armepavine, (+)-norarmepavine, (+)-isoliensinine and (+)-pronuciferine) in Nelumbo nucifera leaves was developed.",Positive
182,"In this study the first CE method for the determination of all major alkaloids ((-)-nuciferine, (-)-nornuciferine, (-)-caaverine, (-)-armepavine, (+)-norarmepavine, (+)-isoliensinine and (+)-pronuciferine) in Nelumbo nucifera leaves was developed.",Nelumbo nucifera,(-)-nornuciferine,"Relation of Nelumbo nucifera and (-)-nornuciferine on In this study the first CE method for the determination of all major alkaloids ((-)-nuciferine, (-)-nornuciferine, (-)-caaverine, (-)-armepavine, (+)-norarmepavine, (+)-isoliensinine and (+)-pronuciferine) in Nelumbo nucifera leaves was developed.",Positive
183,"In this study the first CE method for the determination of all major alkaloids ((-)-nuciferine, (-)-nornuciferine, (-)-caaverine, (-)-armepavine, (+)-norarmepavine, (+)-isoliensinine and (+)-pronuciferine) in Nelumbo nucifera leaves was developed.",Nelumbo nucifera,(-)-caaverine,"Relation of Nelumbo nucifera and (-)-caaverine on In this study the first CE method for the determination of all major alkaloids ((-)-nuciferine, (-)-nornuciferine, (-)-caaverine, (-)-armepavine, (+)-norarmepavine, (+)-isoliensinine and (+)-pronuciferine) in Nelumbo nucifera leaves was developed.",Positive
184,"In this study the first CE method for the determination of all major alkaloids ((-)-nuciferine, (-)-nornuciferine, (-)-caaverine, (-)-armepavine, (+)-norarmepavine, (+)-isoliensinine and (+)-pronuciferine) in Nelumbo nucifera leaves was developed.",Nelumbo nucifera,(-)-armepavine,"Relation of Nelumbo nucifera and (-)-armepavine on In this study the first CE method for the determination of all major alkaloids ((-)-nuciferine, (-)-nornuciferine, (-)-caaverine, (-)-armepavine, (+)-norarmepavine, (+)-isoliensinine and (+)-pronuciferine) in Nelumbo nucifera leaves was developed.",Positive
185,"In this study the first CE method for the determination of all major alkaloids ((-)-nuciferine, (-)-nornuciferine, (-)-caaverine, (-)-armepavine, (+)-norarmepavine, (+)-isoliensinine and (+)-pronuciferine) in Nelumbo nucifera leaves was developed.",Nelumbo nucifera,(+)-norarmepavine,"Relation of Nelumbo nucifera and (+)-norarmepavine on In this study the first CE method for the determination of all major alkaloids ((-)-nuciferine, (-)-nornuciferine, (-)-caaverine, (-)-armepavine, (+)-norarmepavine, (+)-isoliensinine and (+)-pronuciferine) in Nelumbo nucifera leaves was developed.",Positive
